ReviewID;CustomerID;ProductID;ReviewDate;Rating;ReviewText;SentimentScore;SentimentCategory;SentimentBucket
87;89;17;26/05/2023;3;Not  worth the money.;-0.1695;Mixed Positive;-1.0 to -0.5
88;93;19;26/08/2025;4;Exceeded my expectations!;0.0;Positive;0.0 to 4.9
89;60;3;8/07/2024;3;The quality is top-notch.;0.0;Neutral;0.0 to 4.9
90;47;17;12/11/2025;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
91;4;16;27/09/2025;3;Great purchase, very satisfied.;0.8016;Mixed Positive;0.5 to 1.0
92;2;16;21/11/2023;3;Not worth the money.;-0.1695;Mixed Positive;-1.0 to -0.5
93;60;13;5/09/2024;3;Not worth the money.;-0.1695;Mixed Positive;-1.0 to -0.5
94;2;16;14/03/2025;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
95;16;16;7/04/2024;4;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 4.9
96;19;13;2/09/2023;3;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
97;64;6;19/01/2024;3;The product is okay, but the instructions were unclear.;-0.2617;Mixed Positive;-1.0 to -0.5
98;96;3;20/11/2025;5;Exceeded my expectations!;0.0;Positive;0.0 to 4.9
99;79;16;29/01/2025;2;Average experience, nothing special.;-0.3089;Mixed Negative;-1.0 to -0.5
100;9;2;20/06/2025;3;Not worth the money.;-0.1695;Mixed Positive;-1.0 to -0.5
101;61;18;11/09/2024;5;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
102;4;2;22/08/2025;5;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
103;82;14;17/11/2024;5;The quality is top-notch.;0.0;Positive;0.0 to 4.9
104;96;5;6/01/2023;4;I love  this product, will buy again!;0.6696;Positive;0.5 to 1.0
105;32;12;27/08/2024;2;The product  arrived late.;0.0;Negative;0.0 to 4.9
106;94;17;25/02/2024;2;Average experience, nothing special.;-0.3089;Mixed Negative;-1.0 to -0.5
107;26;10;17/02/2025;5;Five stars for  the quick delivery.;0.0;Positive;0.0 to 4.9
108;80;17;22/12/2023;5;Five stars for the  quick delivery.;0.0;Positive;0.0 to 4.9
109;38;10;25/07/2023;4;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
110;54;12;2/08/2024;4;Customer  support was very helpful.;0.6997;Positive;0.5 to 1.0
111;43;7;5/11/2023;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
112;87;3;26/05/2023;5;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
113;27;9;31/03/2024;2;Disappointed with the performance.;-0.4767;Mixed Negative;-1.0 to -0.5
114;52;19;4/05/2025;2;Average experience, nothing special.;-0.3089;Mixed Negative;-1.0 to -0.5
115;82;9;28/09/2023;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
116;70;18;23/07/2023;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
117;20;14;19/04/2025;4;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
118;59;6;1/05/2024;1;The product arrived late.;0.0;Negative;0.0 to 4.9
119;34;5;6/09/2025;4;Great purchase, very  satisfied.;0.8016;Positive;0.5 to 1.0
120;3;20;18/08/2024;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
121;91;1;2/11/2025;2;Good quality, but could be cheaper.;0.2382;Mixed Negative;0.5 to 1.0
122;83;14;27/09/2024;2;Not worth the money.;-0.1695;Mixed Negative;-1.0 to -0.5
123;93;1;22/09/2025;4;Good quality, but could be cheaper.;0.2382;Positive;0.5 to 1.0
124;36;16;17/07/2023;5;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
125;55;11;20/12/2025;5;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
126;32;10;12/08/2024;5;Exceeded my expectations!;0.0;Positive;0.0 to 4.9
127;47;8;25/03/2025;4;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
128;71;20;13/12/2023;2;Average experience, nothing special.;-0.3089;Mixed Negative;-1.0 to -0.5
129;46;13;14/02/2025;4;Good quality, but could be cheaper.;0.2382;Positive;0.5 to 1.0
130;88;3;22/09/2025;5;Great  purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
131;42;5;16/06/2023;5;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
132;21;7;13/11/2025;2;Product did not meet my expectations.;0.0;Negative;0.0 to 4.9
133;40;4;24/05/2025;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
134;74;4;27/03/2024;3;Good quality, but could  be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
135;48;14;8/06/2023;4;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
136;17;3;27/03/2025;5;Amazing value for  the price.;0.7351;Positive;0.5 to 1.0
137;88;6;2/03/2023;4;Good quality, but could  be cheaper.;0.2382;Positive;0.5 to 1.0
138;28;15;18/01/2023;5;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
139;36;16;20/04/2023;4;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
140;53;18;3/12/2023;3;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
141;98;9;15/10/2024;5;Amazing value for the  price.;0.7351;Positive;0.5 to 1.0
142;15;7;4/08/2023;5;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
143;3;12;12/04/2023;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
144;27;15;16/08/2025;4;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
145;27;10;5/03/2024;3;The  product is okay, but the instructions were unclear.;-0.2617;Mixed Positive;-1.0 to -0.5
146;5;13;9/01/2025;4;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
147;100;20;25/01/2025;2;Average experience, nothing special.;-0.3089;Mixed Negative;-1.0 to -0.5
148;17;18;5/11/2024;1;Average experience, nothing special.;-0.3089;Mixed Negative;-1.0 to -0.5
149;50;3;20/12/2023;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
150;4;15;18/06/2024;5;I love this product, will buy  again!;0.6696;Positive;0.5 to 1.0
151;21;19;30/10/2023;3;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
152;32;16;15/12/2025;3;Good quality, but  could be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
153;95;11;6/11/2023;5;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
154;3;12;19/12/2023;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
155;89;3;10/12/2025;4;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
156;5;7;26/01/2025;5;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
157;10;17;14/10/2025;2;The product arrived late.;0.0;Negative;0.0 to 4.9
158;37;2;16/04/2024;5;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
159;23;12;1/09/2023;5;I love this product,  will buy again!;0.6696;Positive;0.5 to 1.0
160;71;9;2/01/2024;2;Not worth the money.;-0.1695;Mixed Negative;-1.0 to -0.5
161;9;18;5/08/2025;2;The product arrived  late.;0.0;Negative;0.0 to 4.9
162;64;20;25/07/2023;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
163;89;7;27/05/2023;5;The quality is top-notch.;0.0;Positive;0.0 to 4.9
164;25;19;16/03/2024;2;Product did not  meet my expectations.;0.0;Negative;0.0 to 4.9
165;97;3;3/06/2025;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
166;87;3;1/11/2023;3;Good  quality, but could be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
167;28;16;2/08/2023;2;Product did not meet  my expectations.;0.0;Negative;0.0 to 4.9
168;72;2;13/12/2025;3;Customer support was very helpful.;0.6997;Mixed Positive;0.5 to 1.0
169;26;8;28/09/2025;5;Five stars for the quick  delivery.;0.0;Positive;0.0 to 4.9
170;53;13;23/06/2024;5;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
171;2;16;16/02/2024;3;Not worth the money.;-0.1695;Mixed Positive;-1.0 to -0.5
172;79;2;23/11/2024;3;Not worth the money.;-0.1695;Mixed Positive;-1.0 to -0.5
173;15;16;30/05/2025;5;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
174;91;8;23/06/2024;4;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
175;3;6;2/11/2024;3;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
176;21;11;23/11/2023;3;The product is okay, but the instructions were unclear.;-0.2617;Mixed Positive;-1.0 to -0.5
177;93;19;3/07/2025;4;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
178;17;20;25/05/2025;4;The quality is  top-notch.;0.0;Positive;0.0 to 4.9
179;46;20;26/11/2025;4;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
180;77;5;8/03/2023;4;Great purchase,  very satisfied.;0.8016;Positive;0.5 to 1.0
181;4;3;9/08/2024;4;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
182;21;11;8/03/2024;5;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
183;13;5;8/06/2025;4;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
184;59;5;29/12/2024;4;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 4.9
185;8;6;13/11/2023;2;Product did not meet my expectations.;0.0;Negative;0.0 to 4.9
186;22;13;17/02/2023;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
187;58;18;1/05/2025;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
188;70;5;19/09/2025;5;Exceeded my expectations!;0.0;Positive;0.0 to 4.9
189;83;7;13/03/2025;2;The product  arrived late.;0.0;Negative;0.0 to 4.9
190;83;3;10/08/2023;3;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
191;68;3;5/09/2024;4;Great purchase,  very satisfied.;0.8016;Positive;0.5 to 1.0
192;42;17;4/08/2023;5;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
193;84;20;21/06/2024;3;The product is okay, but the instructions were  unclear.;-0.2617;Mixed Positive;-1.0 to -0.5
194;7;7;19/05/2025;1;The product arrived late.;0.0;Negative;0.0 to 4.9
195;75;5;25/10/2023;5;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
196;91;2;29/10/2023;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
197;51;15;27/11/2024;4;I love this product,  will buy again!;0.6696;Positive;0.5 to 1.0
198;57;8;27/08/2023;5;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
199;6;13;20/08/2024;5;The  quality is top-notch.;0.0;Positive;0.0 to 4.9
200;30;17;9/01/2025;3;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
201;59;6;23/05/2023;2;Not worth the money.;-0.1695;Mixed Negative;-1.0 to -0.5
202;33;9;6/09/2023;5;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
203;66;18;22/11/2023;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
204;95;14;29/11/2024;4;Great purchase, very  satisfied.;0.8016;Positive;0.5 to 1.0
205;88;12;6/04/2023;5;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
206;72;14;22/08/2023;4;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 4.9
207;95;18;7/06/2025;4;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
208;94;8;25/03/2023;4;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
209;70;8;5/11/2025;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
210;28;1;10/12/2023;2;The product arrived late.;0.0;Negative;0.0 to 4.9
211;84;12;7/03/2025;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
212;87;10;3/01/2023;1;Terrible customer service, would not buy again.;-0.4767;Mixed Negative;-1.0 to -0.5
213;7;13;9/04/2024;5;Shipping was fast and  the item was well-packaged.;0.0;Positive;0.0 to 4.9
214;53;18;13/04/2025;3;Five stars for the quick delivery.;0.0;Neutral;0.0 to 4.9
215;55;10;7/01/2024;2;Product did not meet my expectations.;0.0;Negative;0.0 to 4.9
216;49;7;14/11/2023;3;The product is okay, but the instructions were unclear.;-0.2617;Mixed Positive;-1.0 to -0.5
217;62;11;19/08/2023;5;Amazing value  for the price.;0.7351;Positive;0.5 to 1.0
218;35;8;14/09/2024;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
219;90;9;18/02/2023;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
220;78;9;12/08/2025;2;Disappointed with the performance.;-0.4767;Mixed Negative;-1.0 to -0.5
221;26;2;21/10/2024;4;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
222;54;14;28/02/2024;5;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
223;37;16;31/07/2023;5;Exceeded my expectations!;0.0;Positive;0.0 to 4.9
224;68;15;27/03/2023;4;Great purchase,  very satisfied.;0.8016;Positive;0.5 to 1.0
225;80;1;8/09/2025;3;The product is okay, but the instructions were unclear.;-0.2617;Mixed Positive;-1.0 to -0.5
226;60;9;23/08/2023;2;The product arrived late.;0.0;Negative;0.0 to 4.9
227;74;11;10/08/2024;4;Good  quality, but could be cheaper.;0.2382;Positive;0.5 to 1.0
228;20;19;23/10/2025;2;The product is okay, but the instructions were unclear.;-0.2617;Mixed Negative;-1.0 to -0.5
229;69;12;7/02/2023;4;The  quality is top-notch.;0.0;Positive;0.0 to 4.9
230;54;11;19/10/2023;2;The product arrived late.;0.0;Negative;0.0 to 4.9
231;15;16;15/04/2025;5;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
232;17;3;11/10/2025;5;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
233;81;4;14/11/2024;2;The product arrived late.;0.0;Negative;0.0 to 4.9
234;80;9;6/03/2023;5;The build quality is impressive.;0.5106;Positive;0.5 to 1.0
235;54;3;18/03/2024;4;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
236;55;16;3/03/2025;5;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
237;44;2;29/09/2025;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
238;47;9;18/04/2023;4;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
239;45;9;28/01/2024;5;Exceeded my expectations!;0.0;Positive;0.0 to 4.9
240;20;16;9/11/2024;5;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
241;61;15;22/04/2024;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
242;20;20;7/06/2025;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
243;24;11;17/02/2023;1;I had a bad experience with this product.;-0.5423;Mixed Negative;-1.0 to -0.5
244;36;4;25/08/2023;4;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
245;50;3;23/03/2023;3;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
246;71;12;23/07/2023;4;The  quality is top-notch.;0.0;Positive;0.0 to 4.9
247;28;6;24/11/2025;5;Excellent product, highly  recommend!;0.7773;Positive;0.5 to 1.0
248;81;6;15/07/2023;3;Good quality, but could be cheaper.;0.2382;Mixed Positive;0.5 to 1.0
249;75;2;4/01/2023;1;Not  satisfied, the product broke after a week.;-0.6288;Mixed Negative;-1.0 to -0.5
250;22;11;21/09/2023;1;The product stopped working after a month.;-0.2263;Mixed Negative;-1.0 to -0.5
251;16;2;1/02/2024;4;Good quality, but could be cheaper.;0.2382;Positive;0.5 to 1.0
252;6;6;18/03/2025;5;The build quality is  impressive.;0.5106;Positive;0.5 to 1.0
253;75;15;3/08/2024;3;Great purchase, very satisfied.;0.8016;Mixed Positive;0.5 to 1.0
254;30;19;31/12/2025;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
255;13;16;23/01/2024;5;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
256;91;3;11/02/2024;4;Good quality, but could be cheaper.;0.2382;Positive;0.5 to 1.0
257;84;13;3/10/2023;3;Average experience, nothing  special.;-0.3089;Mixed Positive;-1.0 to -0.5
258;34;7;13/05/2025;4;Great  purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
259;75;2;24/08/2023;3;The product is okay, but the instructions were unclear.;-0.2617;Mixed Positive;-1.0 to -0.5
260;44;18;7/03/2024;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
261;29;12;15/10/2024;4;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
262;45;7;7/07/2024;5;Five stars for  the quick delivery.;0.0;Positive;0.0 to 4.9
263;47;8;21/10/2024;4;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
264;96;18;19/08/2025;4;Shipping was fast and the  item was well-packaged.;0.0;Positive;0.0 to 4.9
265;22;19;14/05/2024;4;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
266;62;5;22/02/2025;5;Excellent product,  highly recommend!;0.7773;Positive;0.5 to 1.0
267;55;19;1/12/2023;3;The product is  okay, but the instructions were unclear.;-0.2617;Mixed Positive;-1.0 to -0.5
268;98;17;28/10/2023;5;The build quality  is impressive.;0.5106;Positive;0.5 to 1.0
269;75;4;18/11/2023;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
270;46;6;25/09/2023;1;The color was different from what was shown.;0.0;Negative;0.0 to 4.9
271;21;17;8/08/2025;5;The  build quality is impressive.;0.5106;Positive;0.5 to 1.0
272;39;17;26/03/2023;5;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 4.9
273;10;2;9/10/2024;5;Shipping was fast and the item was well-packaged.;0.0;Positive;0.0 to 4.9
274;93;11;7/04/2023;5;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
275;45;12;3/04/2023;4;Five stars for the quick delivery.;0.0;Positive;0.0 to 4.9
276;86;1;29/01/2025;5;The quality is top-notch.;0.0;Positive;0.0 to 4.9
277;22;6;21/03/2025;4;The quality is top-notch.;0.0;Positive;0.0 to 4.9
278;80;20;1/03/2023;5;Amazing value for the price.;0.7351;Positive;0.5 to 1.0
279;86;5;21/07/2023;5;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
280;68;19;9/11/2023;4;Good quality, but could be cheaper.;0.2382;Positive;0.5 to 1.0
281;71;5;19/11/2025;4;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
282;59;5;17/02/2023;3;Average experience, nothing special.;-0.3089;Mixed Positive;-1.0 to -0.5
283;87;13;14/02/2023;5;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
284;89;13;1/09/2023;4;Great purchase, very satisfied.;0.8016;Positive;0.5 to 1.0
285;29;3;25/08/2023;4;Good quality, but could  be cheaper.;0.2382;Positive;0.5 to 1.0
286;53;16;4/05/2023;5;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
287;75;6;14/02/2025;5;I love this product, will  buy again!;0.6696;Positive;0.5 to 1.0
288;68;17;21/06/2024;5;Excellent product, highly recommend!;0.7773;Positive;0.5 to 1.0
289;87;15;4/10/2023;5;Customer support was  very helpful.;0.6997;Positive;0.5 to 1.0
290;20;14;23/09/2024;2;Average experience, nothing special.;-0.3089;Mixed Negative;-1.0 to -0.5
291;17;7;6/12/2025;5;I love this product, will buy again!;0.6696;Positive;0.5 to 1.0
292;15;7;19/10/2025;5;Customer support was very helpful.;0.6997;Positive;0.5 to 1.0
